sitename,TA_F,TA_F_DAY,TA_F_NIGHT,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,GPP_NT_VUT_REF,wscal,fpar
AU-ASM,15.476,16.518,14.594,112.658,376.361,5.152,94.691,0,1.796,0.8788769999999999,0.285557359457016,0.2783694865356433
AU-ASM,16.042,16.884,15.329,68.498,378.456,7.097,94.528,0.868,1.933,0.1812171,0.2825176417827606,0.27876566004294623
AU-ASM,19.362,21.176,17.827,133.963,385.252,5.348,94.212,3.218,2.758,0.8712654000000001,0.2904002368450165,0.2791824119986905
AU-ASM,20.622,22.051,19.412,161.32,375.367,5.739,94.205,2.323,2.657,0.37612718,0.2938416600227356,0.2795688860779739
AU-ASM,16.855,18.825,15.188,196.496,315.899,9.197,94.456,0,1.907,0.4066022,0.2864934504032135,0.2798742259558941
AU-ASM,15.314,18.061,12.99,200.425,302.762,7.365,94.582,0,1.671,0.5645394,0.2794145345687866,0.2800475753075491
AU-ASM,16.184,18.079,14.581,103.33,357.805,7.725,94.484,0.541,1.661,0.1945666,0.2750870585441589,0.2800380778080269
AU-ASM,18.17,20.357,16.32,147.222,356.699,7.36,94.455,4.335,2.505,0.5196031999999999,0.2885103523731232,0.2797948771324234
AU-ASM,13.589,15.624,11.867,199.491,285.818,7.46,95.012,0,2.914,0.3975532,0.2815057039260864,0.27926711695584394
AU-ASM,12.112,13.9,10.599,195.419,284.097,6.5760000000000005,95.136,0,2.571,0.35740320000000003,0.2747768461704254,0.2784749574019274
AU-ASM,10.841,13.345,8.722000000000001,200.129,271.057,6.9910000000000005,94.959,0,2.123,0.3544178000000001,0.2682656943798065,0.2774885466677653
AU-ASM,12.011,14.318,10.059,195.89,281.704,7.615,94.717,0,0.937,0.3526128000000001,0.2619082927703857,0.2763320105386348
AU-ASM,12.708,15.521,10.328,192.826,290.087,8.059,94.822,0,1.69,0.3871246,0.255694180727005,0.2750294747996991
AU-ASM,11.915,14.085,10.079,193.575,281.12,7.809,95.163,0,2.306,0.3574032000000001,0.2496968507766724,0.2736050652364532
AU-ASM,12.944,15.303,10.947,189.324,292.621,8.038,95.116,0,2.6180000000000003,0.5736266000000001,0.24383972585201263,0.2720829076340717
AU-ASM,13.216,15.292,11.459,186.764,296.046,8.577,95.096,0,2.882,0.4714088,0.238153412938118,0.2704871277778313
AU-ASM,12.887,14.747,11.313,187.63,293.636,8.777000000000001,95.124,0,3.1210000000000004,0.5211938,0.2326456755399704,0.2688418514530093
AU-ASM,12.98,15.022,11.252,184.872,296.147,8.594,95.168,0,2.725,0.475572,0.2272958159446717,0.2671712044447433
AU-ASM,12.906,14.96,11.167,183.993,297.491,10.1,95.091,0,2.053,0.475572,0.2221079468727112,0.2654993125385895
AU-ASM,14.066,15.933,12.487,167.547,321.857,10.021,95.181,0,3.403,0.5549374,0.21706369519233704,0.26385030151968675
AU-ASM,13.707,15.026,12.591,182.908,316.533,8.833,95.266,0,3.646,0.375332,0.2121894359588623,0.262248297173312
AU-ASM,11.986,13.94,10.333,185.255,288.5540000000001,7.903,95.34,0,3.304,0.3891056000000001,0.2074802666902542,0.26071742528474223
AU-ASM,10.963,12.534,9.634,158.506,296.2,7.956,95.339,0,3.732,0.3903014,0.202931210398674,0.2592818116392544
AU-ASM,10.919,12.72,9.395,183.745,281.645,8.169,95.348,0,3.714,0.3533866,0.1985253095626831,0.257965582022022
AU-ASM,10.970999999999998,13.026,9.231,187.62,273.821,8.07,95.373,0,3.077,0.31598200000000004,0.1942612826824188,0.2567928622185418
AU-ASM,11.213,13.765,9.053,189.74,269.961,9.026,95.153,0,2.54,0.3635585999999999,0.19013769924640656,0.2555728104866153
AU-ASM,13.018,16.078,10.429,186.466,283.281,9.997,95.002,0,1.079,0.35338660000000005,0.18615083396434784,0.25413019710873586
AU-ASM,14.489,18.416,11.166,180.213,307.461,11.945,94.99,0,1.4880000000000002,0.54982,0.18229788541793823,0.25251256590704674
AU-ASM,16.794,19.503,14.502,178.52200000000005,326.579,12.918,95.082,0,2.043,0.42154,0.17858432233333588,0.2507674607036912
AU-ASM,13.929,15.71,12.423,183.76,292.158,10.255999999999998,95.385,0,3.516,0.48618,0.17502646148204806,0.2489424253206591
AU-ASM,12.624,14.813,10.771,186.377,274.53,9.623,95.52,0,3.5580000000000003,0.3574032000000001,0.1716047078371048,0.2470850035804
AU-ASM,13.592,15.935,11.609000000000002,185.466,280.621,10.354,95.575,0,3.322,0.3533866,0.16832484304904938,0.24524273930490825
AU-ASM,14.377,16.715999999999998,12.398,184.005,287.122,10.42,95.506,0,3.152,0.3891056000000001,0.1651849001646042,0.24346317631632725
AU-ASM,14.93,17.5,12.755,182.721,293.968,10.327,95.313,0,2.388,0.475572,0.16218410432338717,0.2417938584368002
AU-ASM,15.293,18.095,12.922,182.579,298.141,10.104,94.888,0,1.527,0.5167328,0.15932093560695648,0.2402823294883529
AU-ASM,15.669,18.494,13.28,181.718,308.846,9.947,94.817,0,1.767,0.3728328,0.156593918800354,0.2389761332933828
AU-ASM,14.765999999999998,16.734,13.1,177.769,307.23,8.869,95.122,0,3.167,0.33586419999999995,0.15399038791656494,0.2379228136739005
AU-ASM,13.084,14.988,11.472,178.31099999999995,297.431,8.298,95.101,0,2.765,0.475572,0.15149755775928497,0.2368826786437201
AU-ASM,12.748,14.788,11.022,158.618,309.198,9.439,94.932,0,1.759,0.5641883999999999,0.14912989735603333,0.2356370792661366
AU-ASM,13.449000000000002,15.893,11.38,165.155,316.0370000000001,10.344,94.924,0,1.238,0.3671894,0.14690612256526947,0.2342651239375152
AU-ASM,13.349,15.144,11.829,113.201,340.846,9.017,95.073,0,1.786,0.27532680000000004,0.14479662477970126,0.2328459210541033
AU-ASM,9.518,9.073,9.895,4.492,357.665,2.716,95.293,13.656,2.053,0.064609246,0.2062879204750061,0.23145857901250705
AU-ASM,10.045,11.316,8.969,161.17,318.927,4.024,95.415,0.202,2.786,0.5641883999999999,0.20305751264095304,0.2301822062089745
AU-ASM,10.009,12.121,8.066,182.33900000000003,282.789,6.432,95.445,0,3.077,0.35338660000000005,0.1990170180797577,0.2290959110398708
AU-ASM,12.223,14.314,10.3,167.668,323.699,7.35,95.149,0,1.633,0.5549374,0.1951453685760498,0.22827880190156075
AU-ASM,11.246,11.375,11.127,19.565,363.73,4.347,95.023,15.591,2.403,0.064609246,0.2640558481216431,0.2276168020700101
AU-ASM,7.883999999999999,7.7879999999999985,7.973,20.523000000000003,354.522,1.975,95.087,30.221,3.129,0.208178026,0.3991409838199616,0.2269509655260747
AU-ASM,8.987,9.999,8.057,124.234,346.247,3.267,95.113,0.172,2.338,0.3654542,0.3915474712848663,0.22629309672364856
AU-ASM,9.916,11.53,8.431000000000001,173.65,307.404,3.737,95.009,0,1.722,0.383551,0.3829190135002136,0.2256550001164595
AU-ASM,11.941,14.037,10.014,175.859,319.048,4.914,94.786,0,1.7819999999999998,0.383551,0.3740719854831696,0.22504848015829035
AU-ASM,16.352999999999998,18.226,14.63,120.174,364.878,5.52,94.769,0,1.7619999999999998,0.8351708000000001,0.3649900257587433,0.22448534130292408
AU-ASM,17.557000000000002,18.589,16.608,87.22200000000002,393.202,4.614,94.912,0.667,0.885,0.06017486000000001,0.3591851592063904,0.2239773880041436
AU-ASM,18.47,20.166,16.909000000000002,148.774,369.322,5.943,94.678,0.223,1.7080000000000002,0.43404962,0.3513250946998596,0.22353642471569823
AU-ASM,17.166,18.777,15.684,110.095,347.349,6.384,94.665,0.923,2.782,0.257695,0.3470038175582886,0.22317425589144504
AU-ASM,11.438,13.398,9.635,194.335,264.95,7.049,95.187,0,2.843,0.34040159999999997,0.33883151412010193,0.2229026859851273
AU-ASM,9.997,12.495,7.7,194.045,262.161,6.43,95.272,0,2.755,0.32732634,0.33088573813438416,0.222733519450528
AU-ASM,10.489,13.012,8.168,188.545,276.786,5.832000000000002,95.199,0,2.4730000000000003,0.3574032000000001,0.3230665624141693,0.22267856074143
AU-ASM,10.69,13.365,8.23,190.793,278.906,5.68,95.113,0,1.619,0.3574032000000001,0.3153936862945557,0.22287142144567795
